alfa_romeo;2
aston_marin;4
audi;5
bentley;
bmw;
cadillac;
chevrolet;
chrysler;
citroen;
dacia;
daewoo;
deleted;
dodge;
ferrari;
fiat;
ford;
honda;
hyundai;
jaguar;
jeep;
kia;
lada;
lamborghini;
lancia;
land_rover;
lexus;
maserati;
mazda;
mercedes;
mini;
mitsubishi;
nissan;
opel;
peugeot;
porsche;
renault;
seat;
skoda;
smart;
subaru;
suzuki;
toyota;
trabant;
volkswagen;
volvo;
